Unnamed: 0,Model,me,MAE,MSE,RMSE,Min,Max,model,y
0.0,allconv_01,[1.449306],[5.13374],[37.201168],[6.099276],[-15.12457],[12.293428],allconv_01,Wonder
,allconv_01,[-0.31585395],[3.5904653],[17.620028],[4.197622],[-10.104736],[7.8221245],allconv_01,Transcendence
,allconv_01,[4.2024817],[6.54217],[66.75488],[8.170366],[-16.54667],[22.996567],allconv_01,Nostalgia
,allconv_01,[2.1156106],[4.8119287],[38.674847],[6.21891],[-18.031006],[17.846775],allconv_01,Tenderness
,allconv_01,[-0.15677074],[7.3994546],[95.1661],[9.755311],[-17.997795],[38.07408],allconv_01,Peacfulness
,allconv_01,[5.3331294],[9.386959],[125.96696],[11.2235],[-20.294285],[24.040565],allconv_01,Joy
,allconv_01,[4.11233],[6.903112],[77.719345],[8.815858],[-26.166111],[19.843262],allconv_01,Power
,allconv_01,[-1.4991707],[5.4136224],[61.839413],[7.863804],[-29.161095],[12.097961],allconv_01,Tension
,allconv_01,[0.5082644],[2.5089617],[13.769069],[3.7106695],[-16.80769],[5.8783503],allconv_01,Sadness
