Unnamed: 0,Model,me,MAE,MSE,RMSE,Min,Max,model,y
0.0,allconv_01,-1.502029,3.4924133,17.568895,4.1915264,-11.07561,5.2349396,allconv_01,Transcendence
,allconv_01,1.0583707094192505,5.284147262573242,41.49071502685547,6.441328525543213,-14.42676830291748,12.291625022888184,allconv_01,Wonder
,allconv_01,-1.6038800477981567,3.3015029430389404,16.30112648010254,4.037465572357178,-9.220770835876465,4.603788375854492,allconv_01,Transcendence
,allconv_01,-7.48204755783081,8.720447540283203,125.10523986816406,11.18504524230957,-26.76000022888184,9.093111991882324,allconv_01,Nostalgia
,allconv_01,-2.3108012676239014,4.883872032165527,44.977176666259766,6.706502437591553,-23.67085266113281,8.16065788269043,allconv_01,Tenderness
,allconv_01,-7.751785755157471,8.99210262298584,120.36151885986328,10.970939636230469,-23.160308837890625,9.794991493225098,allconv_01,Peacfulness
,allconv_01,-15.350959777832031,15.350959777832031,345.7644958496094,18.59474372863769,-42.7501106262207,-0.3859825134277344,allconv_01,Joy
,allconv_01,-8.498839378356934,8.926517486572266,158.2978515625,12.581647872924805,-44.345176696777344,3.928454875946045,allconv_01,Power
,allconv_01,0.1181221157312393,5.696983814239502,61.02757263183594,7.812014579772949,-26.979475021362305,11.105173110961914,allconv_01,Tension
,allconv_01,2.6520681381225586,3.610664367675781,18.852169036865234,4.34190845489502,-13.503127098083496,7.732887268066406,allconv_01,Sadness
,allconv_complex,-0.0558581165969371,5.247925758361816,41.50591278076172,6.442508220672607,-15.911417961120604,11.193952560424805,allconv_complex,Wonder
,allconv_complex,-2.0517945289611816,3.809993505477905,21.87312889099121,4.6768717765808105,-13.257652282714844,5.419445037841797,allconv_complex,Transcendence
,allconv_complex,-7.029564380645752,9.709580421447754,147.9490509033203,12.16343116760254,-33.216758728027344,15.532855987548828,allconv_complex,Nostalgia
,allconv_complex,0.4284767806529999,5.459932327270508,45.18364334106445,6.7218780517578125,-17.84511375427246,11.174817085266112,allconv_complex,Tenderness
,allconv_complex,-3.138349294662476,7.550761699676514,85.09687805175781,9.224797248840332,-20.297420501708984,18.439605712890625,allconv_complex,Peacfulness
,allconv_complex,-16.763864517211914,16.763864517211914,389.5335998535156,19.73660469055176,-43.026798248291016,-1.0933480262756348,allconv_complex,Joy
,allconv_complex,-9.084969520568848,9.342381477355955,171.48245239257812,13.095130920410156,-45.298187255859375,3.0653669834136963,allconv_complex,Power
,allconv_complex,-1.3698737621307373,5.647362232208252,57.04728317260742,7.55296516418457,-27.543102264404297,11.93300437927246,allconv_complex,Tension
,allconv_complex,2.04809308052063,3.3164780139923096,18.017366409301758,4.244687080383301,-16.31022071838379,7.94896125793457,allconv_complex,Sadness
