Model,me,MAE,MSE,RMSE,Min,Max,model,y
allconv_01,3.56466,6.3324466,53.613132,7.3220987,-12.898049,14.289501,allconv_01,Wonder
allconv_01,4.369864940643311,5.314655780792236,39.78251647949219,6.307338237762451,-6.875798225402832,14.333436012268066,allconv_01,Transcendence
allconv_01,7.655568599700928,9.57038116455078,122.51355743408205,11.068584442138672,-14.99143409729004,19.35272979736328,allconv_01,Nostalgia
allconv_01,5.433101654052734,7.422361373901367,71.08342742919922,8.431098937988281,-12.501686096191406,16.002347946166992,allconv_01,Tenderness
allconv_01,2.903672456741333,7.764371395111084,87.85309600830078,9.372998237609863,-16.347187042236328,17.91867446899414,allconv_01,Peacfulness
allconv_01,4.87583065032959,9.605254173278809,127.60569763183594,11.296269416809082,-22.461286544799805,18.81063270568848,allconv_01,Joy
allconv_01,6.569821834564209,10.088489532470703,128.95013427734375,11.355621337890623,-30.91092872619629,18.762113571166992,allconv_01,Power
allconv_01,4.210364818572998,7.341839790344238,76.04873657226562,8.720592498779297,-22.376060485839844,14.549909591674805,allconv_01,Tension
allconv_01,5.0919060707092285,5.764217853546143,39.55704879760742,6.289439678192139,-12.841955184936523,9.426593780517578,allconv_01,Sadness
