Model,me,MAE,MSE,RMSE,Min,Max,model,y
allconv_01,-0.9421097,5.003183,41.04037,6.4062757,-17.564337,10.969051,allconv_01,Wonder
allconv_01,-1.827831149101257,4.418371200561523,29.609838485717773,5.441492080688477,-13.573911666870115,6.550540924072266,allconv_01,Transcendence
allconv_01,3.786088228225708,6.825977802276611,70.40814208984375,8.390955924987793,-14.553781509399414,17.938358306884766,allconv_01,Nostalgia
allconv_01,-1.945568323135376,4.991805553436279,41.50978469848633,6.442808628082275,-21.113933563232425,7.663635730743408,allconv_01,Tenderness
allconv_01,4.803387641906738,8.154303550720215,95.28368377685548,9.76133632659912,-17.333478927612305,18.790531158447266,allconv_01,Peacfulness
allconv_01,3.477536916732788,7.871707439422607,90.63785552978516,9.520391464233398,-19.320655822753903,21.52936553955078,allconv_01,Joy
allconv_01,-0.0776507258415222,6.860202789306641,92.85760498046876,9.63626480102539,-38.50911712646485,11.794925689697266,allconv_01,Power
allconv_01,-1.534421682357788,5.327738285064697,61.67487716674805,7.853335380554199,-28.39261054992676,7.7783050537109375,allconv_01,Tension
allconv_01,0.0265556201338768,2.3407232761383057,13.287925720214844,3.645260810852051,-18.808086395263672,4.5434489250183105,allconv_01,Sadness
