Model,Labels,lr,ME,MAE,MSE,RMSE,loss_function,dense_weight_alpha,batch size,snippet_duration_s
allconv_01,['Peacfulness'],0.01,-11.945844650268556,12.11968231201172,221.74435424804688,14.891082763671877,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Joy'],0.01,-7.631392955780029,8.985713005065918,144.43753051757812,12.018217086791992,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Power'],0.01,-1.337404727935791,5.035623550415039,55.951168060302734,7.480051517486572,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Tension'],0.01,-3.152832269668579,5.028383255004883,54.18902969360352,7.3613200187683105,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Sadness'],0.01,3.595255851745605,4.56240177154541,30.88386344909668,5.55732536315918,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Wonder'],0.001,-12.587419509887695,12.587419509887695,199.7046813964844,14.131690979003906,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Transcendence'],0.001,-8.279016494750977,8.279016494750977,87.48111724853516,9.353134155273438,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Nostalgia'],0.001,-10.146894454956056,10.18198013305664,165.19297790527344,12.852742195129396,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Tenderness'],0.001,-5.346435546875,5.813508987426758,61.65077590942383,7.851800918579102,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Peacfulness'],0.001,-12.480741500854492,12.523211479187012,238.4214630126953,15.440902709960938,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Joy'],0.001,-18.089820861816406,18.089820861816406,436.0604248046875,20.88205909729004,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Power'],0.001,-11.292744636535645,11.292744636535645,210.50564575195312,14.50881290435791,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Tension'],0.001,-8.650995254516602,8.650995254516602,132.97076416015625,11.531294822692873,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Sadness'],0.001,-1.2759177684783936,1.917632937431336,12.887429237365724,3.589906692504883,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Wonder'],0.001,-12.139399528503418,12.139582633972168,190.4835357666016,13.8015775680542,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Transcendence'],0.001,-8.48074722290039,8.48074722290039,94.24522399902344,9.707998275756836,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Nostalgia'],0.001,-11.375201225280762,11.454253196716309,200.1988983154297,14.149166107177734,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Tenderness'],0.001,-7.427235126495361,7.490850448608398,97.67919158935548,9.883278846740724,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Peacfulness'],0.001,-12.41542148590088,12.41542148590088,236.6707305908203,15.384106636047363,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Joy'],0.001,-18.96732521057129,18.96732521057129,477.7698059082031,21.857946395874023,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Power'],0.001,-11.042622566223145,11.071185111999512,201.59329223632807,14.198355674743652,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Tension'],0.001,-9.084919929504396,9.084919929504396,140.45127868652344,11.851214408874512,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Sadness'],0.001,-1.3542001247406006,2.063091993331909,14.726219177246094,3.837475538253784,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Wonder'],0.01,-4.657101631164551,7.077610015869141,75.06647491455078,8.664091110229492,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Transcendence'],0.01,-2.4149179458618164,4.473932266235352,31.166378021240234,5.582685470581055,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Nostalgia'],0.01,-6.256798267364502,7.759841442108154,101.0183563232422,10.050788879394531,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Tenderness'],0.01,-0.3886521756649017,4.309074878692627,30.512449264526367,5.523807525634766,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Peacfulness'],0.01,-6.167684078216553,8.220691680908203,104.30042266845705,10.21275806427002,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Joy'],0.01,-6.16002893447876,8.713536262512207,136.75559997558594,11.694254875183104,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Power'],0.01,-3.464253187179565,5.908611297607422,81.05455017089844,9.003029823303223,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Tension'],0.01,-1.5590108633041382,4.893274307250977,45.04581832885742,6.711617946624756,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Sadness'],0.01,7.063845157623291,7.399463653564453,69.42853546142578,8.332378387451172,dense_weight,2.0,50.0,29.98575963718821
allconv_01,['Transcendence'],0.01,1.6703511476516724,3.518664836883545,18.605669021606445,4.31342887878418,MAE,0.0,50.0,29.98575963718821
