Model,Labels,lr,loss_function,dense_weight_alpha,batch size,data_augmentation,snippet_duration_s,oversampling,oversampling_tolerance,oversampling_ratio,oversampling_method,R2,ME,MAE,MSE,RMSE,Wonder MAE,Transcendence MAE,Nostalgia MAE,Tenderness MAE,Peacfulness MAE,Joy MAE,Power MAE,Tension MAE,Sadness MAE,Wonder RMSE,Transcendence RMSE,Nostalgia RMSE,Tenderness RMSE,Peacfulness RMSE,Joy RMSE,Power RMSE,Tension RMSE,Sadness RMSE
allconv_01,['Transcendence'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-2.0242960453033447,4.441390514373779,27.89337158203125,5.281417369842529,,4.441390514373779,,,,,,,,,5.281417369842529,,,,,,,
allconv_01,['Nostalgia'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-5.037588596343994,6.584336280822754,68.71707153320312,8.289576530456543,,,6.584336280822754,,,,,,,,,8.289576530456543,,,,,,
allconv_01,['Tenderness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-3.4676640033721924,4.759822368621826,46.16154098510742,6.794228553771973,,,,4.759822368621826,,,,,,,,,6.794228553771973,,,,,
allconv_01,['Peacfulness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-1.4418044090270996,6.405231475830078,60.38477325439453,7.770763874053955,,,,,6.405231475830078,,,,,,,,,7.770763874053955,,,,
allconv_01,['Joy'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-7.320428371429443,8.98656940460205,132.6016082763672,11.515276908874512,,,,,,8.98656940460205,,,,,,,,,11.515276908874512,,,
allconv_01,['Power'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-0.7255364060401917,5.000797271728516,57.24231719970703,7.565865039825439,,,,,,,5.000797271728516,,,,,,,,,7.565865039825439,,
allconv_01,['Tension'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-5.191784381866455,6.076745510101318,73.87559509277344,8.595090866088867,,,,,,,,6.076745510101318,,,,,,,,,8.595090866088867,
allconv_01,['Sadness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-0.4370236694812774,2.443300008773804,13.272710800170898,3.6431732177734375,,,,,,,,,2.443300008773804,,,,,,,,,3.6431732177734375
allconv_01,['Wonder'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,1,adaptive_density_oversampling_V2,99.0,-3.1848552227020264,5.839069366455078,58.63493347167969,7.657345294952393,5.839069366455078,,,,,,,,,7.657345294952393,,,,,,,,
allconv_01,['Wonder'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,-2.664817571640014,5.722624778747559,51.88991165161133,7.203465461730957,5.722624778747559,,,,,,,,,7.203465461730957,,,,,,,,
allconv_01,['Transcendence'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,-4.367311477661133,4.898211479187012,34.31432342529297,5.857842922210693,,4.898211479187012,,,,,,,,,5.857842922210693,,,,,,,
allconv_01,['Nostalgia'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,-4.689790725708008,6.190489768981934,61.85504913330078,7.864798069000244,,,6.190489768981934,,,,,,,,,7.864798069000244,,,,,,
allconv_01,['Tenderness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,0.0293604452162981,4.696871757507324,34.09362030029297,5.838974475860596,,,,4.696871757507324,,,,,,,,,5.838974475860596,,,,,
allconv_01,['Peacfulness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,8.112634658813477,9.786747932434082,134.31051635742188,11.589241027832031,,,,,9.786747932434082,,,,,,,,,11.589241027832031,,,,
allconv_01,['Joy'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,-6.625836372375488,8.902881622314453,130.39703369140625,11.41915225982666,,,,,,8.902881622314453,,,,,,,,,11.41915225982666,,,
allconv_01,['Power'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,1.2941371202468872,5.930827617645264,60.74012756347656,7.793595314025879,,,,,,,5.930827617645264,,,,,,,,,7.793595314025879,,
allconv_01,['Tension'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,0.5534136891365051,6.096408843994141,69.2750473022461,8.323163032531738,,,,,,,,6.096408843994141,,,,,,,,,8.323163032531738,
allconv_01,['Sadness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling_V2,99.0,1.2778204679489136,2.970675230026245,16.407363891601562,4.050600528717041,,,,,,,,,2.970675230026245,,,,,,,,,4.050600528717041
allconv_01,['Wonder'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,-3.2268290519714355,5.993038177490234,53.278907775878906,7.299240112304687,5.993038177490234,,,,,,,,,7.299240112304687,,,,,,,,
allconv_01,['Transcendence'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,-1.85915207862854,5.007858276367188,38.33329772949219,6.191389083862305,,5.007858276367188,,,,,,,,,6.191389083862305,,,,,,,
allconv_01,['Nostalgia'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,0.5799025297164917,5.176365375518799,47.92012023925781,6.922436237335205,,,5.176365375518799,,,,,,,,,6.922436237335205,,,,,,
allconv_01,['Tenderness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,1.521403193473816,4.098665237426758,25.868934631347656,5.086151123046875,,,,4.098665237426758,,,,,,,,,5.086151123046875,,,,,
allconv_01,['Peacfulness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,-6.30330753326416,8.452146530151367,105.49415588378906,10.271035194396973,,,,,8.452146530151367,,,,,,,,,10.271035194396973,,,,
allconv_01,['Joy'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,4.780293941497803,8.63657283782959,103.49412536621094,10.173206329345703,,,,,,8.63657283782959,,,,,,,,,10.173206329345703,,,
allconv_01,['Power'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,-1.6962956190109253,5.274902820587158,59.27839660644531,7.699246406555176,,,,,,,5.274902820587158,,,,,,,,,7.699246406555176,,
allconv_01,['Tension'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,-2.1860036849975586,6.34043550491333,88.01564025878906,9.381665229797363,,,,,,,,6.34043550491333,,,,,,,,,9.381665229797363,
allconv_01,['Sadness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling_V2,99.0,-0.7895642518997192,2.35108494758606,13.563225746154783,3.682828426361084,,,,,,,,,2.35108494758606,,,,,,,,,3.682828426361084
allconv_01,['Wonder'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,-0.5208078026771545,5.539687156677246,45.578948974609375,6.751218318939209,5.539687156677246,,,,,,,,,6.751218318939209,,,,,,,,
allconv_01,['Transcendence'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,-1.6792744398117063,3.493070602416992,18.168052673339844,4.262399673461914,,3.493070602416992,,,,,,,,,4.262399673461914,,,,,,,
allconv_01,['Nostalgia'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,-2.7742738723754883,5.841761112213135,57.47511291503906,7.581234455108643,,,5.841761112213135,,,,,,,,,7.581234455108643,,,,,,
allconv_01,['Tenderness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,0.1606615930795669,4.376140594482422,31.300695419311523,5.594702243804932,,,,4.376140594482422,,,,,,,,,5.594702243804932,,,,,
allconv_01,['Peacfulness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,-5.136538982391357,7.625574588775635,88.95061492919922,9.431363105773926,,,,,7.625574588775635,,,,,,,,,9.431363105773926,,,,
allconv_01,['Joy'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,4.909731388092041,8.596657752990723,109.68517303466795,10.473069190979004,,,,,,8.596657752990723,,,,,,,,,10.473069190979004,,,
allconv_01,['Power'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,0.0585227198898792,5.713077068328857,61.11761093139648,7.817775249481201,,,,,,,5.713077068328857,,,,,,,,,7.817775249481201,,
allconv_01,['Tension'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,-6.037267208099365,6.738200664520264,77.58478546142578,8.808222770690918,,,,,,,,6.738200664520264,,,,,,,,,8.808222770690918,
allconv_01,['Sadness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,2,adaptive_density_oversampling,99.0,-0.0696194246411323,2.5170130729675293,14.470287322998049,3.803982973098755,,,,,,,,,2.5170130729675293,,,,,,,,,3.803982973098755
allconv_01,['Wonder'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,-3.931129693984986,5.78098201751709,57.22222137451172,7.564537048339844,5.78098201751709,,,,,,,,,7.564537048339844,,,,,,,,
allconv_01,['Transcendence'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,-2.22274136543274,3.748378276824951,20.245756149291992,4.499528408050537,,3.748378276824951,,,,,,,,,4.499528408050537,,,,,,,
allconv_01,['Nostalgia'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,-3.327268362045288,6.70262336730957,74.82106018066406,8.649916648864746,,,6.70262336730957,,,,,,,,,8.649916648864746,,,,,,
allconv_01,['Tenderness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,1.8663691282272337,5.017479419708252,39.36408233642578,6.274080276489258,,,,5.017479419708252,,,,,,,,,6.274080276489258,,,,,
allconv_01,['Peacfulness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,-6.421017169952393,7.8039164543151855,96.30201721191406,9.813359260559082,,,,,7.8039164543151855,,,,,,,,,9.813359260559082,,,,
allconv_01,['Joy'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,-5.043830394744873,7.515649795532227,103.44171905517578,10.17063045501709,,,,,,7.515649795532227,,,,,,,,,10.17063045501709,,,
allconv_01,['Power'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,-0.2590799629688263,5.363202095031738,62.11909103393555,7.881566524505615,,,,,,,5.363202095031738,,,,,,,,,7.881566524505615,,
allconv_01,['Tension'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,-4.110555171966553,5.768277645111084,73.38775634765625,8.566665649414062,,,,,,,,5.768277645111084,,,,,,,,,8.566665649414062,
allconv_01,['Sadness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.4,2,adaptive_density_oversampling,99.0,1.7718687057495115,3.558551073074341,21.334680557250977,4.618947982788086,,,,,,,,,3.558551073074341,,,,,,,,,4.618947982788086
allconv_01,['Wonder'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling,99.0,-3.28838849067688,5.876745700836182,54.58396530151367,7.388096332550049,5.876745700836182,,,,,,,,,7.388096332550049,,,,,,,,
allconv_01,['Transcendence'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling,99.0,-2.9071621894836426,4.178664207458496,27.54051780700684,5.24790620803833,,4.178664207458496,,,,,,,,,5.24790620803833,,,,,,,
allconv_01,['Nostalgia'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling,99.0,-1.1394397020339966,4.887462615966797,42.28437423706055,6.502643585205078,,,4.887462615966797,,,,,,,,,6.502643585205078,,,,,,
allconv_01,['Tenderness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling,99.0,-3.1262664794921875,5.203322410583496,52.93718338012695,7.275794506072998,,,,5.203322410583496,,,,,,,,,7.275794506072998,,,,,
allconv_01,['Joy'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling,99.0,-0.0446828193962574,6.907297134399414,80.93695068359375,8.996496200561523,,,,,,6.907297134399414,,,,,,,,,8.996496200561523,,,
allconv_01,['Peacfulness'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.5,2,adaptive_density_oversampling,99.0,-5.391119480133057,8.073216438293457,106.1691436767578,10.303841590881348,,,,,8.073216438293457,,,,,,,,,10.303841590881348,,,,
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight_tuned,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.340118944644928,4.997491359710693,45.28794097900391,6.47805643081665,5.088988780975342,3.4316511154174805,5.320960521697998,4.754876613616943,6.380034446716309,6.845510482788086,5.684664726257324,5.150081634521484,2.320653200149536,6.356548309326172,4.017165660858154,6.635885715484619,5.686776161193848,7.463805675506592,8.95738410949707,8.951515197753906,6.882988929748535,3.350437879562378
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight_tuned,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.2837995290756225,5.00221061706543,45.98063659667969,6.5253496170043945,5.048980236053467,3.255540132522583,5.356362342834473,4.749088287353516,5.951652050018311,6.909735202789307,6.161715984344482,4.863831043243408,2.722990036010742,6.486166954040527,3.950355291366577,6.741176128387451,5.568440437316895,6.876400470733643,9.196219444274902,9.321508407592772,6.859449863433838,3.7284281253814697
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight_tuned,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-1.305887222290039,5.203244209289551,50.433555603027344,6.824190139770508,5.387557029724121,3.4271016120910645,5.654225826263428,4.372524261474609,6.16368293762207,7.429678440093994,6.022655010223389,5.960818767547607,2.4109528064727783,7.0589518547058105,4.213735103607178,7.071634292602539,5.4436211585998535,7.1305928230285645,9.856196403503418,9.23758316040039,7.7413458824157715,3.664048910140991
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight_tuned,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-1.305887222290039,5.203244209289551,50.433555603027344,6.824190139770508,5.387557029724121,3.4271016120910645,5.654225826263428,4.372524261474609,6.16368293762207,7.429678440093994,6.022655010223389,5.960818767547607,2.4109528064727783,7.0589518547058105,4.213735103607178,7.071634292602539,5.4436211585998535,7.1305928230285645,9.856196403503418,9.23758316040039,7.7413458824157715,3.664048910140991
